0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,WINK,,,,
0,SET,Loop,9,,,
0,JMPZ,26,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,40,0,1,
0,JMPREL,5,20,0.4,1,
0,JMPREL,6,120,0.4,1,
0,JMPREL,7,236,135,0,0
0,SansBody,HandRight,236,135,0,0
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,236,135,2,20
0,JMPREL,3,236,135,2,20
0,SansBody,HandUp,236,135,2,20
0,JMPREL,1,236,135,2,20
0.26666,SansSlam,$Direction,236,135,2,20
0.2,BoneStab,$Direction,50,0.3,0.2,20
0.43333,JMPABS,6,,,,
0,EndAttack,3,,,,
