0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,Closedeyes,,,,
0,SET,Loop,9,,,
0,JMPZ,26,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,100,0.4,0.1,
0,JMPREL,5,30,0.4,0.1,
0,JMPREL,6,95,0.4,0.1,
0,JMPREL,7,25,0.4,0.1,
0,SansBody,HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,360,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,3,100,0.4,0.1,
0,SansBody,HandUp,30,0.4,0.1,
0,JMPREL,1,65,0.4,0.1,
0.26666,SansSlam,$Direction,45,0.4,0.1,
0.2,BoneStab,$Direction,25,0.4,0.33333,
0.6,JMPABS,6,,,,
0,EndAttack,1,100,0.4,0.1,
